"Parcela","Cultura","IQS_ANOVA","IQS_Fuzzy","IQS_PLS","IQS_MARS","IQS_RF","IQS_ANOVA_blom","IQS_Fuzzy_blom","IQS_PLS_blom","IQS_MARS_blom","IQS_RF_blom","MetaIQS_Borda"
"NT","Pigeon pea",3.90118279277659,4.44889911128849,5.15,4.42866570529152,4.49403775200924,0.0348213172603476,-0.562061564828265,0.469252883812802,-0.603319299671101,-0.548522282698098,44.7
"NT","Pigeon pea",3.71151548177708,4.45156784130826,4.3515,4.4642059474199,4.4922084024828,-0.104633455614075,-0.5217393083884,0.222308065187877,-0.5217393083884,-0.575704675100676,42.2
"NT","Pigeon pea",4.26111765663247,5.27986519102874,3.4313,5.31256515101928,5.23566700949444,0.128001042354502,0.151438742677196,-0.246163646661359,0.128001042354502,0.151438742677196,57.2
"NT","Pigeon pea",3.79976665578855,5.28004153598002,3.0671,5.29108154213426,5.21183692197854,-0.0348213172603477,0.174959940165732,-0.495325504665913,0.0813228717724496,0.0580563997946523,52.8
"NT","Pigeon pea",7.27050654278248,5.28091024171303,3.8154,5.29180454820251,5.24710677189238,1.15034938037601,0.19857834735111,-0.0813228717724495,0.104633455614075,0.19857834735111,66.2
"MT","Cowpea",9.31015427558101,4.96432534207939,6.1516,5.03526564215372,5.03257543117452,1.8465332589292,-0.104633455614075,0.659991538619561,-0.0813228717724495,-0.0348213172603477,68
"MT","Cowpea",8.11270476180227,4.96412598992629,5.9839,5.04863655957167,5.04326503539372,1.29754292861655,-0.151438742677196,0.575704675100676,-0.0348213172603477,-0.0116050210127303,66.2
"MT","Cowpea",5.96362278337558,4.96426454190975,7.7193,5.03917175286009,5.0046598940671,0.631401894239761,-0.128001042354502,1.15034938037601,-0.0580563997946523,-0.0580563997946523,65.6
"MT","Cowpea",4.0577653391441,5.59406969493868,6.6395,5.59517818391423,5.58781569840999,0.0813228717724496,0.246163646661359,0.844933179293064,0.343155498201741,0.318639363964375,69.4
"MT","Cowpea",4.31783738792078,5.61735458168868,6.1919,5.5849375007126,5.58708898561561,0.19857834735111,0.318639363964375,0.689131147209014,0.318639363964375,0.294313289581477,69.6
"MT","Cowpea",8.93268137408005,5.64002261559884,8.194,5.55801413188554,5.61576922633737,1.63594140222522,0.343155498201741,1.41384503483369,0.294313289581477,0.343155498201741,81.6
"MT","Cowpea",5.34501653142882,5.60669274803743,5.4439,5.49917709216595,5.58231558332831,0.469252883812802,0.282216147062508,0.548522282698098,0.222308065187877,0.270160165313734,69.5
"MT","Cowpea",4.31717835941617,5.60669274803743,5.2384,5.50686089335516,5.53099970251016,0.174959940165732,0.282216147062508,0.495325504665913,0.270160165313734,0.222308065187877,66.7
"MT","Cowpea",5.59223892837365,5.51868365373989,5.0552,5.50395179990081,5.56798389914615,0.548522282698098,0.222308065187877,0.392830813649729,0.246163646661359,0.246163646661359,68.4
"MT","Millet",6.67580925545041,4.31064931590046,3.9689,4.31282908797616,4.38435356141385,0.812217801499913,-0.749254703224776,0.0813228717724496,-0.718868052822716,-0.749254703224776,44
"MT","Millet",5.30911805068458,4.36162358823961,3.8526,4.29522029083351,4.38479543511088,0.418028984178433,-0.689131147209014,-0.0348213172603477,-0.749254703224776,-0.718868052822716,40.6
"MT","Millet",8.79375873887653,4.33369538639936,6.003,4.36256940155435,4.40700103025414,1.47994138903519,-0.718868052822716,0.603319299671101,-0.659991538619561,-0.689131147209014,52.2
"MT","Millet",8.92559098415777,5.83556199525955,6.9119,5.83827443931773,5.71210308015645,1.55322089800153,0.5217393083884,0.87857891994897,0.469252883812802,0.367879665820457,82
"MT","Millet",7.41952762681765,5.8462251741457,7.968,5.9012291754939,5.77040155629034,1.19655132690156,0.575704675100676,1.3534061120182,0.548522282698098,0.469252883812802,84.8
"MT","Millet",6.67257893167045,5.8361111928516,8.3824,5.92895755367486,5.73128332797881,0.780349497982251,0.548522282698098,1.8465332589292,0.659991538619561,0.418028984178433,84
"MT","Millet",2.32758526453963,6.2129111553147,8.2563,6.23420541215694,6.25396271632879,-0.87857891994897,0.87857891994897,1.55322089800153,0.844933179293064,0.844933179293064,77
"MT","Millet",2.44793099099526,6.0458679317031,8.2546,6.23420541215694,6.2355295124071,-0.812217801499913,0.718868052822716,1.47994138903519,0.844933179293064,0.780349497982251,75.8
"MT","Millet",2.748456323289,6.47793252995766,8.2838,6.23420541215694,6.30919894555247,-0.575704675100676,0.949055092751712,1.63594140222522,0.844933179293064,0.949055092751712,80.2
"MT","Sunn hemp",4.83618583945382,4.44806938826004,4.0832,4.45890539017768,4.53584830341197,0.294313289581477,-0.645630749275982,0.104633455614075,-0.548522282698098,-0.443495452975006,44.5
"MT","Sunn hemp",4.94937490668426,4.44809929390419,4.3158,4.40974285547481,4.49110966242642,0.318639363964375,-0.603319299671101,0.174959940165732,-0.631401894239761,-0.603319299671101,43.8
