"Parcela","Cultura","IPACSA","IQS_RF","IQS_RF_CI_lower","IQS_RF_CI_upper"
"CT","Millet",4.75507991236895,4.75856648146284,4.47480942080321,5.26781537705777
"CT","Millet",4.95791138292295,4.93581051260965,4.56206738519325,5.26438396559026
"CT","Millet",4.99004976003984,4.9262222066334,4.54780633254621,5.24277317473542
"CT","Millet",4.95467193298544,4.93511891214546,4.49519114900507,5.26739186924542
"CT","Millet",3.40580442720016,3.6265030917004,3.40580442720016,4.79405795045889
"CT","Millet",3.45207386113184,3.59706672418547,3.40580442720016,4.72209020297814
"CT","Millet",3.6802602116254,3.6389808273493,3.40580442720016,4.70546444543815
"CT","Sunn hemp",3.72047138770167,3.76660513362504,3.64700605458639,4.38157113049229
"CT","Sunn hemp",3.73168037861277,3.75676616210247,3.60761916859049,4.20062430012366
"CT","Sunn hemp",3.74051394619842,3.8486364121884,3.60761916859049,4.78034810368636
"CT","Sunn hemp",3.74454975446863,3.74880061302915,3.55791494676718,4.00523506419758
"CT","Sunn hemp",3.74163489894779,3.79292001461289,3.4766471674596,4.72783289814967
"CT","Sunn hemp",3.74025134801969,3.78469930971802,3.55791494676718,4.72781699322471
"CT","Sunn hemp",7.14144215530903,7.00858949597493,5.7756632688631,7.14600234408981
"CT","Sunn hemp",7.14144215530903,6.99068476631943,5.7756632688631,7.14746349391227
"CT","Sunn hemp",7.13461034618954,7.01125745623666,5.78116917081383,7.1451675831337
"CT","Pigeon pea",4.49510199154229,4.52849524198764,4.01871419627591,5.06646608518703
"CT","Pigeon pea",4.49566509130724,4.50912962513695,3.74399369934938,4.96855582110069
"CT","Pigeon pea",4.47798763287046,4.5328753437643,3.86450742303578,5.1347744002655
"CT","Pigeon pea",3.55791494676718,3.69079386983542,3.50256741863812,4.19287844787309
"CT","Pigeon pea",3.8536862596802,3.84189229246779,3.55791494676718,4.74150370148352
"CT","Pigeon pea",3.79156762704589,3.80128443899357,3.51002576403437,4.46733280952324
"CT","Pigeon pea",4.70426338527699,4.7085834767632,4.04396364391866,5.27752402003644
"CT","Pigeon pea",4.70385125938373,4.71901177563385,4.06219650267354,5.27999343757048
"CT","Pigeon pea",4.70625174438139,4.70589734447748,3.89969125166566,5.27440365656551
