Parcela,Cultura,DMG,DMP,RMP,Densidade,Estoque de C,Na,ICV(%),Altura de Plantas,Diâmetro espiga,Comprimento espiga,Número de plantas_ha,N total de espigas_ha,N de espigas comerciais_ha,Peso de espigas comerciais_ha,Produtividade,DMG_norm,DMP_norm,RMP_norm,Densidade_norm,Estoque de C_norm,Na_norm,ICV(%)_norm,Altura de Plantas_norm,Diâmetro espiga_norm,Comprimento espiga_norm,Número de plantas_ha_norm,N total de espigas_ha_norm,N de espigas comerciais_ha_norm,Peso de espigas comerciais_ha_norm,Produtividade_norm,COS,ARQ,STAND,IPACSA,Parcela_Cultura
NT,Pigeon pea,-0.634874574490538,-0.9270773826164757,-0.7809759785535069,-0.31520391649437685,-0.3517081113975499,7.4,0.2675820094499583,2.25,57.6,19.2,12000,12166.666666666666,9000,2640,9000,0,0.004610794859080586,10,9.5751133532735,0.4788806523369854,8.55619360131255,6.315789473684211,9.285714285714288,10,3.421052631578946,1.4285714285714293,2.1999999999999984,6.212121212121212,7.949685534591194,6.212121212121212,4.861417812703032,5.046165839794787,2.5,4.448899111288485,NT_Pigeon pea
NT,Pigeon pea,-0.6375589093027305,-0.9329786449171913,-0.7852687771099609,-0.1960641291962068,-0.25772725017309533,9.8,0.2675820094499583,2,57.6,19.2,12000,12166.666666666666,9000,2640,9000,0,0,10,9.292116896689981,0.7612646118855833,7.768662838392125,6.315789473684211,5.714285714285715,10,3.421052631578946,1.4285714285714293,2.1999999999999984,6.212121212121212,7.949685534591194,6.212121212121212,4.968321863344844,5.039015544830462,2.5,4.451567841308257,NT_Pigeon pea
NT,Pigeon pea,-0.41425620780813993,0.9877541925790143,0.28674899238543716,-0.1595081345871315,-0.2011313124920273,10.533,-0.3411670620486952,1.95,55.6,20.4,15833.333333333334,12833.333333333334,4166.666666666667,1128.3333333333333,4166.666666666667,0.774677971374713,5.989022354972953,6.44400398701348,9.205284301334043,0.9313182245948386,7.528137817883511,4.473684210526313,5,7.916666666666668,4.999999999999998,8.000000000000002,3,1.8181818181818186,2.245283018867924,1.8181818181818186,4.794504960718772,4.898017126109857,7.5,5.279865191028741,NT_Pigeon pea
NT,Pigeon pea,-0.22934266379266396,0.09938859500674344,-0.06497703439296026,-0.2271618152992469,-0.2579415069169798,10.533,-0.3411670620486952,1.85,55.6,20.4,15833.333333333334,12833.333333333334,4166.666666666667,1128.3333333333333,4166.666666666667,1.4641126660056676,3.2126187168742826,7.618511801411341,9.365984201430772,0.7606208354090771,7.528137817883511,4.473684210526313,3.5714285714285725,7.916666666666668,4.999999999999998,8.000000000000002,3,1.8181818181818186,2.245283018867924,1.8181818181818186,4.810198103074293,4.8967832751588665,7.5,5.280041535980021,NT_Pigeon pea
NT,Pigeon pea,4.396556610752576,3.1530982246592427,3.774827417705909,-0.22488500873682,-0.2560296253738326,10.533,-0.3411670620486952,1.77,55.6,20.4,15833.333333333334,12833.333333333334,4166.666666666667,1128.3333333333333,4166.666666666667,10,10,0,9.360576031715977,0.7663654590835972,7.528137817883511,4.473684210526313,2.4285714285714284,7.916666666666668,4.999999999999998,8.000000000000002,3,1.8181818181818186,2.245283018867924,1.8181818181818186,4.15919975472605,4.890710070915361,7.5,5.280910241713033,NT_Pigeon pea
MT,Cowpea,2.298569612760787,2.4419264174745683,2.370248015117678,-0.3842614681067057,-0.26745125537185593,5.4,0.2675820094499583,2.1,52.2,24.2,12500,13333.333333333334,10500,2833.3333333333335,10500,10,10,0,9.739147911751537,0.7320469280410064,9.212469237079574,6.315789473684211,7.142857142857145,4.375000000000002,10,2.2857142857142865,3.5999999999999996,7.575757575757577,8.679245283018869,7.575757575757577,5.237893123085511,5.6778675413252,2.5,4.964325342079392,MT_Cowpea
MT,Cowpea,1.093499683862084,1.833783008880858,1.463641346371471,-0.35531349895584824,-0.23209386163884366,4.2,0.2675820094499583,2.15,52.2,24.2,12500,13333.333333333334,10500,2833.3333333333335,10500,6.396219802105537,8.633111106198667,2.514043844107766,9.670386896806301,0.8382851632685079,9.606234618539787,6.315789473684211,7.857142857142858,4.375000000000002,10,2.2857142857142865,3.5999999999999996,7.575757575757577,8.679245283018869,7.575757575757577,5.50568093186444,5.788614105466038,2.5,4.964125989926295,MT_Cowpea
MT,Cowpea,-0.4343759436758426,-0.37772458978676293,-0.40605026673130273,-0.37580475801769075,-0.25712212911277355,38.5,0.2675820094499583,2.1,52.2,24.2,12500,13333.333333333334,10500,2833.3333333333335,10500,0.6996632177077553,1.7214997612713563,8.757447069672597,9.719060424239444,0.7630828169838724,0,6.315789473684211,7.142857142857145,4.375000000000002,10,2.2857142857142865,3.5999999999999996,7.575757575757577,8.679245283018869,7.575757575757577,5.319186320744252,5.6778675413252,2.5,4.964264541909754,MT_Cowpea
MT,Cowpea,-0.5172791645262581,-0.7446246020455818,-0.63095188328592,0.23860775575723633,0.5557552778465658,8.4,1.311151846304792,2.3,48,22,13333.333333333334,13666.666666666666,11000,2916.6666666666665,11000,0.3905654874401161,0.5748293683186837,9.508454063762729,8.259627196918686,3.205532671285123,8.22805578342904,9.473684210526315,10,0,7.105263157894736,3.714285714285716,3.9999999999999982,8.030303030303031,8.993710691823898,8.030303030303031,5.004548958163446,5.610477147986907,2.819996771785406,5.594069694938677,MT_Cowpea
MT,Cowpea,-0.607356615200827,-0.9177721813526262,-0.7625643982767265,-0.23984688043276933,-0.0602893721468343,9.1,1.311151846304792,2.2,48,22,13333.333333333334,13666.666666666666,11000,2916.6666666666665,11000,0.05471924086253333,0.03369228418373929,9.947943653842595,9.39611543269891,1.3545055019512002,7.998359310910583,9.473684210526315,8.571428571428577,0,7.105263157894736,3.714285714285716,3.9999999999999982,8.030303030303031,8.993710691823898,8.030303030303031,5.1738591641315725,5.610477147986907,2.819996771785406,5.617354581688676,MT_Cowpea
